Costa-Rica	5084636	      0.92%	46557	51060	4200	1.8	33	80%	0.07%
Liberia	5032469	      2.44%	120307	96320	-5000	4.4	19	53%	0.06%
Ireland	4926480	      1.13%	55291	68890	23604	1.8	38	63%	0.06%
Central-African-Republic	4812256	      1.78%	84582	622980	-40000	4.8	18	43%	0.06%
New-Zealand	4814272	      0.82%	39170	263310	14881	1.9	38	87%	0.06%
Mauritania	4623535	      2.74%	123962	1030700	5000	4.6	20	57%	0.06%
Panama	4300667	      1.61%	68328	74340	11200	2.5	30	68%	0.06%
Kuwait	4257495	      1.51%	63488	17820	39520	2.1	37	N.A.	0.05%
Croatia	4110214	      -0.61%	-25037	55960	-8001	1.4	44	58%	0.05%
Moldova	4035814	      -0.23%	-9300	32850	-1387	1.3	38	43%	0.05%
Georgia	3990681	      -0.19%	-7598	69490	-10000	2.1	38	58%	0.05%
Eritrea	3536285	      1.41%	49304	101000	-39858	4.1	19	63%	0.05%
Uruguay	3471314	      0.35%	11996	175020	-3000	2	36	96%	0.04%
Bosnia&Herzegovina	3284806	      -0.61%	-20181	51000	-21585	1.3	43	52%	0.04%
Mongolia	3267320	      1.65%	53123	1553560	-852	2.9	28	67%	0.04%
Armenia	2962137	      0.19%	5512	28470	-4998	1.8	35	63%	0.04%
Jamaica	2958567	      0.44%	12888	10830	-11332	2	31	55%	0.04%
Qatar	2870922	      1.73%	48986	11610	40000	1.9	32	96%	0.04%
Albania	2878420	      -0.11%	-3120	27400	-14000	1.6	36	63%	0.04%
Puerto-Rico	2874636	      -2.47%	-72555	8870	-97986	1.2	44	N.A.	0.04%
Lithuania	2729553      	-1.35%	-37338	62674	-32780	1.7	45	71%	0.03%
Namibia	2531290	      1.86%	46375	823290	-4806	3.4	22	55%	0.03%
Gambia	2402083       2.94%	68962	10120	-3087	5.3	18	59%	0.03%
Botswana	2341649	      2.08%	47930	566730	3000	2.9	24	73%	0.03%
Gabon	2214593	      2.45%	53155	257670	3260	4	23	87%	0.03%
Lesotho	2138799	      0.80%	16981	30360	-10047	3.2	24	31%	0.03%
North-Macedonia	2083391	      0.00%	-85	25220	-1000	1.5	39	59%	0.03%
Slovenia	2078881	      0.01%	284	20140	2000	1.6	45	55%	0.03%
Guinea-Bissau	1958132	      2.45%	47079	28120	-1399	4.5	19	45%	0.03%
Latvia	1890218	      -1.08%	-20545	62200	-14837	1.7	44	69%	0.02%
Bahrain	1688629	      3.68%	60403	760	47800	2	32	89%	0.02%
Equatorial-Guinea	1392950	      3.47%	46999	28050	16000	4.6	22	73%	0.02%
Trinidad&Tobago	1398579       0.32%	4515	5130	-800	1.7	36	52%	0.02%
Estonia	        1326357       0.07%	887	42390	3911	1.6	42	68%	0.02%
Timor-Leste	1313184       1.96%	25326	14870	-5385	4.1	21	33%	0.02%
Mauritius	1271347	      0.17%	2100	2030	0	1.4	37	41%	0.02%
Cyprus	        1205577	      0.73%	8784	9240	5000	1.3	37	67%	0.02%
Eswatini	1157707	      1.05%	12034	17200	-8353	3	21	30%	0.01%
Djibouti	985027	      1.48%	14440	23180	900	2.8	27	79%	0.01%
Fiji	        895128	      0.73%	6492	18270	-6202	2.8	28	59%	0.01%
R̩union	894017	      0.72%	6385	2500	-1256	2.3	36	100%	0.01%
Comoros	865696	      2.20%	18715	1861	-2000	4.2	20	29%	0.01%
Guyana	785788	      0.48%	3786	196850	-6000	2.5	27	27%	0.01%
Bhutan	769867	      1.12%	8516	38117	320	2	28	46%	0.01%
Solomon-Islands	683301	      2.55%	17061	27990	-1600	4.4	20	23%	0.01%
Macao	647508	      1.39%	8890	30	5000	1.2	39	N.A.	0.01%
Montenegro	628050	0.01%	79	13450	-480	1.8	39	68%	0.01%
Luxembourg	623861	1.66%	10249	2590	9741	1.5	40	88%	0.01%
Western-Sahara	594215	2.55%	14876	266000	5582	2.4	28	87%	0.01%
Suriname	585561	0.90%	5260	156000	-1000	2.4	29	65%	0.01%
Cabo-Verde	554750	1.10%	6052	4030	-1342	2.3	28	68%	0.01%
Maldives	538558	1.81%	9591	300	11370	1.9	30	35%	0.01%
Malta	441308	0.27%	1171	320	900	1.5	43	93%	0.01%
Brunei	436624	0.97%	4194	5270	0	1.8	32	80%	0.01%
Guadeloupe	400110	0.02%	68	1690	-1440	2.2	44	N.A.	0.01%
Belize	396120	1.86%	7275	22810	1200	2.3	25	46%	0.01%
Bahamas	392477	0.97%	3762	10010	1000	1.8	32	86%	0.01%
Martinique	375323	-0.08%	-289	1060	-960	1.9	47	92%	0.00%
Iceland	340795	0.65%	2212	100250	380	1.8	37	94%	0.00%
Vanuatu	305623	2.42%	7263	12190	120	3.8	21	24%	0.00%
French-Guiana	297029	2.70%	7850	82200	1200	3.4	25	87%	0.00%
Barbados	287305	0.12%	350	430	-79	1.6	40	31%	0.00%
New-Caledonia	284938	0.97%	2748	18280	502	2	34	72%	0.00%
French-Polynesia	280580	0.58%	1621	3660	-1000	2	34	64%	0.00%
Mayotte	271417	2.50%	6665	375	0	3.7	20	46%	0.00%
SaoTome&Principe	218308	1.91%	4103	960	-1680	4.4	19	74%	0.00%
Samoa	198147	0.67%	1317	2830	-2803	3.9	22	18%	0.00%
Saint-Lucia	183458	0.46%	837	610	0	1.4	34	19%	0.00%
Channel-Islands	173536	0.93%	1604	190	1351	1.5	43	30%	0.00%
Guam	168474	0.89%	1481	540	-506	2.3	31	95%	0.00%
Cura̤ao	163958	0.41%	669	444	515	1.8	42	89%	0.00%
Kiribati	119069	1.57%	1843	810	-800	3.6	23	57%	0.00%
Micronesia	114776	1.06%	1208	700	-600	3.1	24	21%	0.00%
Grenada	112418	0.46%	520	340	-200	2.1	32	35%	0.00%
St.Vincent&Grenadines	110869	0.32%	351	390	-200	1.9	33	53%	0.00%
Aruba	106675	0.43%	452	180	201	1.9	41	44%	0.00%
Tonga	105449	1.15%	1201	720	-800	3.6	22	24%	0.00%
U.S.-Virgin-Islands	104456	-0.15%	-153	350	-451	2	43	96%	0.00%
Seychelles	98224	0.62%	608	460	-200	2.5	34	56%	0.00%
Antigua&Barbuda	97764	0.84%	811	440	0	2	N.A.	26%	0.00%
Isle-of-Man	84942	0.53%	449	570	0	0	N.A.	53%	0.00%
Andorra	77240	0.16%	123	470	0	N.A.	N.A.	88%	0.00%
Dominica	71950	0.25%	178	750	0	N.A.	N.A.	74%	0.00%
Cayman-Islands	65564	1.19%	774	240	0	N.A.	N.A.	97%	0.00%
Bermuda	62323	-0.36%	-228	50	0	N.A.	N.A.	97%	0.00%
Marshall-Islands	59109	0.68%	399	180	0	N.A.	N.A.	70%	0.00%
Northern-Mariana-Islands	57490	0.60%	343	460	0	N.A.	N.A.	88%	0.00%
Greenland	56750	0.17%	98	410450	0	N.A.	N.A.	87%	0.00%
American-Samoa	55215	-0.22%	-121	200	0	N.A.	N.A.	88%	0.00%
Saint-Kitts&Nevis	53123	0.71%	376	260	0	N.A.	N.A.	33%	0.00%
Faeroe-Islands	48826	0.38%	185	1396	0	N.A.	N.A.	43%	0.00%
Sint-Maarten	42776	1.15%	488	34	0	N.A.	N.A.	96%	0.00%
Monaco	39186	0.71%	278	1	0	N.A.	N.A.	N.A.	0.00%
Turks&Caicos	38609	1.38%	526	950	0	0	N.A.	89%	0.00%
Saint-Martin	38529	1.75%	664	53	0	N.A.	N.A.	0%	0.00%
Liechtenstein	38106	0.29%	109	160	0	N.A.	N.A.	15%	0.00%
San-Marino	33917	0.21%	71	60	0	N.A.	N.A.	97%	0.00%
Gibraltar	33693	-0.03%	-10	10	0	N.A.	N.A.	N.A.	0.00%
British-Virgin-Islands	30190	0.67%	201	150	0	N.A.	N.A.	52%	0.00%
Caribbean-Netherlands	26173	0.94%	244	328	0	N.A.	N.A.	75%	0.00%
Palau	18077	0.48%	86	460	0	N.A.	N.A.	N.A.	0.00%
Cook-Islands	17561	0.09%	16	240	0	N.A.	N.A.	75%	0.00%
Anguilla	14976	0.90%	134	90	0	N.A.	N.A.	N.A.	0.00%
Tuvalu	11762	1.25%	146	30	0	N.A.	N.A.	62%	0.00%
Wallis&Futuna	11276	-1.69%	-193	140	0	N.A.	N.A.	0%	0.00%
Nauru	10810	0.63%	68	20	0	N.A.	N.A.	N.A.	0.00%
Saint-Barthelemy	9871	0.30%	30	21	0	N.A.	N.A.	0%	0.00%
Saint-Helena	6073	0.30%	18	390	0	N.A.	N.A.	27%	0.00%
Saint-Pierre&Miquelon	5800	-0.48%	-28	230	0	N.A.	N.A.	100%	0.00%
Montserrat	4991	0.06%	3	100	0	N.A.	N.A.	10%	0.00%
Falkland-Islands	3458	3.05%	103	12170	0	N.A.	N.A.	66%	0.00%
Niue	1624	0.68%	11	260	0	N.A.	N.A.	46%	0.00%
Tokelau	1354	1.27%	17	10	0	N.A.	N.A.	0%	0.00%
Holy-See	801	0.25%	2	1	1202	N.A.	N.A.	N.A.	0.00%
